Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3dY1DlC1nDUDtiIKaQ0Ynu,"Kangaroo Court","In A Tidal Wave of Mystery","Capital Cities",2013-06-04,223186,68,false,,2025-09-22T17:44:20Z,"","Lazy Hooks, LLC",0.76,0.58,5,-5.079,0,0.0389,0.00723,0.000667,0.0304,0.975,99.979,4
spotify:track:4juzduULFJiZVIcrC1tkxE,"Banquet","Silent Alarm","Bloc Party",2005-02-02,201360,67,false,,2025-09-22T17:44:20Z,"indierock","[PIAS] Recordings Catalogue",0.577,0.937,10,-4.898,0,0.0504,0.00013,0.0138,0.0828,0.889,150.232,4
spotify:track:5ykbOijJEfRhuo2Td1m0Qd,"7","The Ride","Catfish and the Bottlemen",2016-05-27,256306,67,false,,2025-09-22T17:44:20Z,"indie,indierock","Universal-Island Records Ltd.",0.531,0.711,10,-4.933,1,0.0398,0.000204,0.00291,0.108,0.279,155.068,4
spotify:track:0whmIaItqkT8e5PVuPyhvT,"Perfect (Exceeder)","Perfect (Exceeder)","Mason;Princess Superstar",2007-01-11,161250,66,false,,2025-09-22T17:44:20Z,"electroclash","Armada Music",0.639,0.861,6,-6.595,1,0.0588,0.00449,0.156,0.39,0.671,127.922,4
spotify:track:2drEUEg0TYQR6dDEHkpuPE,"Patience","Patience","Tame Impala",2019-03-22,292267,66,false,,2025-09-22T17:44:20Z,"neo-psychedelisch,indie","Universal Music Australia Pty. Ltd.",0.546,0.859,1,-5.966,1,0.0306,0.00223,0.000947,0.0529,0.645,99.965,4
spotify:track:0QgR03vMDoBoLgcu08EtKl,"Burning","Dreams","The Whitest Boy Alive",2006-09-04,191173,66,false,,2025-09-22T17:44:20Z,"","Bubbles Records",0.721,0.758,11,-7.536,0,0.0372,0.669,0.891,0.133,0.865,150.825,4
spotify:track:4VbDJMkAX3dWNBdn3KH6Wx,"Helena Beat","Torches","Foster The People",2011-05-23,276173,65,false,,2025-09-22T17:44:20Z,"","Columbia",0.67,0.876,5,-4.905,0,0.0536,0.0127,0.00302,0.109,0.736,126.968,4
spotify:track:7cucVWdmNeaPJuo7WkxaZ8,"Boys in the Better Land","Dogrel","Fontaines D.C.",2019-04-12,300115,65,false,,2025-09-22T17:44:20Z,"post-punk","Partisan Records",0.392,0.973,9,-5.02,1,0.0733,0.000292,0.0000235,0.348,0.6,176.977,4
spotify:track:4jU7NPkz4HVnM4hweqNhI1,"Blue Orchid","Get Behind Me Satan","The White Stripes",2005-06-07,157560,64,false,,2025-09-22T17:44:20Z,"garagerock,bluesrock,rock,alternative rock","Legacy Recordings",0.481,0.645,10,-8.535,0,0.318,0.0863,0.0000062,0.332,0.612,151.307,4
spotify:track:2VcS3oKcOPkubN9LVzZ96l,"Longshot","The Balance","Catfish and the Bottlemen",2019-04-26,232960,63,false,,2025-09-22T17:44:20Z,"indie,indierock","Universal-Island Records Ltd.",0.481,0.765,7,-4.025,1,0.0388,0.00381,0.000737,0.119,0.465,102.829,4
