Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3cd7iKlNj6OqRkEuMqVnYs,"L.U.C.K.Y","L.U.C.K.Y","Fcukers",2026-01-13,138706,62,false,,2026-02-27T05:00:32Z,"","Ninja Tune",0.832,0.882,5,-5.997,0,0.113,0.000294,0.011,0.325,0.502,124.965,4
spotify:track:7nicn8ELgX9KaaHSS3MWxw,"Blue","Blue","Chezile",2025-03-28,153101,61,false,,2026-02-27T05:00:32Z,"","10K Projects",0.402,0.486,7,-9.37,0,0.0252,0.0631,0.653,0.168,0.136,79.819,3
spotify:track:04v7ZYv0TQHluugW9Tzccy,"Dancer","Dancer","Claire Rosinkranz",2025-08-15,180117,61,false,,2026-02-27T05:00:32Z,"","Purple Monkey Recordz",0.854,0.499,1,-7.352,1,0.0605,0.0686,0.00309,0.129,0.76,128.023,4
spotify:track:02KWhwsDjIX8ZXgBgK9kOP,"Sorry","LOVED","Parcels",2025-09-12,197703,61,false,,2026-02-27T05:00:32Z,"indiesoul","PARCELS MUSIC",0.804,0.45,6,-10.944,0,0.056,0.302,0.00503,0.0699,0.299,104.907,4
spotify:track:74UbZ0pZNzws8aaOc455kC,"LEZ GO!","LEZ GO!","G Flip;The Beaches",2026-03-04,164566,60,false,,2026-03-06T05:00:23Z,"","G Flip",0.577,0.765,1,-4.217,0,0.0378,0.000447,0.000237,0.296,0.275,90.527,4
spotify:track:6VXIZWHmdOTHIFhsSkYFgQ,"When A Good Man Cries","EURO-COUNTRY","CMAT",2025-08-29,272266,59,false,,2026-02-27T05:00:32Z,"","CMATBABY",0.554,0.752,9,-3.598,1,0.0454,0.0456,0.00000103,0.162,0.604,112.947,4
spotify:track:5yKfoYiHtMr7v6A1dk5ooh,"Just Two Girls","The Clearing","Wolf Alice",2025-08-22,229880,59,true,,2026-02-27T05:00:32Z,"indie","Columbia",0.712,0.745,0,-3.856,1,0.0466,0.0707,0.0000966,0.106,0.585,115.987,4
spotify:track:4rLyT7uQtWQRtGShwTaUju,"Vampire Bat","Vampire Bat","Glass Animals",2025-08-08,206652,59,true,,2026-02-27T05:00:32Z,"","Polydor Records",0.725,0.755,5,-4.786,0,0.0327,0.218,0.00132,0.239,0.716,90.009,4
spotify:track:0pwIbDtddJhPSyLaWecP9j,"Summer Song","Summer Song","Remy Bond",2024-06-28,245504,59,true,,2026-02-27T05:00:32Z,"","Warner Records",0.502,0.415,6,-8.144,1,0.029,0.709,0.111,0.155,0.234,138.013,4
spotify:track:50ASFow3YrVJJpqdzaM1YD,"Carried Away","Equus Caballus","Men I Trust",2025-05-06,207500,59,false,,2026-02-27T05:00:32Z,"bedroompop,indiepop","Independent",0.807,0.548,10,-11.662,0,0.0296,0.559,0.37,0.0955,0.768,95.993,4
spotify:track:5hplO2Sk1SaZgSaR05m6Nn,"DON'T WANNA","SWAG II","Justin Bieber;Bakar",2025-09-05,165733,58,true,,2026-02-27T05:00:32Z,"","JRC Entertainment, LLC / ILH Production Co. LLC / Def Jam Recordings",0.756,0.687,11,-6.313,0,0.136,0.21,0,0.217,0.723,102.938,4
spotify:track:0hbgaixFghGK7zjc3p27H6,"Ripple","Ripple","Good Neighbours",2025-01-24,161007,58,false,,2026-02-27T05:00:32Z,"","Polydor Records",0.487,0.914,4,-3.765,1,0.176,0.0411,0.000178,0.244,0.677,84.998,4
spotify:track:3OoJRP74QttUB17tTe5gwm,"winters gonna come","winters gonna come","Asal",2026-02-27,252001,58,false,,2026-02-27T05:00:32Z,"","Wovy Records, Inc",0.612,0.954,0,-4.608,1,0.0339,0.113,0.00735,0.0357,0.755,121.977,4
spotify:track:2Y782Ab77v8vq7QT8ZZzap,"I Should Know Better","Under The Streetlights","Michael Marcagi",2026-02-06,213483,57,false,,2026-02-27T05:00:32Z,"","Warner Records",0.444,0.838,4,-5.083,1,0.0422,0.373,0,0.31,0.699,162.068,4
spotify:track:4RlKJvvNZGrzZtupp8C2ap,"In Twos","In Twos","Esha Tewari",2025-11-19,166897,57,false,,2026-02-27T05:00:32Z,"","Alta Music Group",0.667,0.558,1,-8.334,1,0.0281,0.358,0.00114,0.173,0.408,100.997,4
spotify:track:1BBVsOxgQ2soUs87ypiMZH,"Hemingway","Hemingway","girl in red",2025-05-30,196697,57,false,,2026-02-27T05:00:32Z,"bedroompop","Columbia",0.439,0.547,10,-10.348,1,0.0424,0.471,0.000154,0.131,0.674,165.964,4
spotify:track:4N00gwXcw0WQzxngbwztnu,"The Lady on the Moon","The Lady on the Moon","Noah Floersch",2026-01-23,187720,57,false,,2026-02-27T05:00:32Z,"","Concord Records",0.673,0.647,1,-7.074,1,0.0387,0.561,0,0.0991,0.666,108.093,4
spotify:track:6xgNV9489zKLRXnvpiZQXJ,"This Is The World (I Made It For You)","This Is The World (I Made It For You) / Nice Day","Magdalena Bay",2025-11-14,281786,57,false,,2026-02-27T05:00:32Z,"","Mom+Pop Music",0.679,0.811,5,-3.682,0,0.0284,0.0124,0.000313,0.0977,0.417,109.999,4
spotify:track:2BeddMVJY8DhWZAC4uKPqx,"Drama King","Drama King","Sports",2026-01-16,190901,57,false,,2026-02-27T05:00:32Z,"","Sports",0.783,0.525,11,-8.354,1,0.0373,0.0686,0.898,0.386,0.796,97.988,4
spotify:track:6kM3Uqz3MRTVGTzu93EZIA,"Memory Be a Blade","Memory Be a Blade","waterbaby",2026-01-14,221066,57,false,,2026-02-27T05:00:32Z,"","Sub Pop Records",0.759,0.412,3,-6.597,1,0.0508,0.858,0.163,0.104,0.544,119.949,4
spotify:track:2YAKZEYMB1blelLn57KzHk,"Aint It Such A Bitch","Aint It Such A Bitch","Baby Nova",2026-03-06,206874,57,true,,2026-03-06T05:00:23Z,"","Artist Partner Group",0.529,0.558,2,-7.384,1,0.0344,0.0837,0.00000417,0.0811,0.553,144.101,4
spotify:track:5dUOWlWWYdAgqeXwTgbaKt,"21st Century Cool Girl","21st Century Cool Girl","Chloe Qisha",2025-01-22,197655,56,false,,2026-02-27T05:00:32Z,"","VLF Records / Are You Serious? Records",0.493,0.634,5,-6.1,1,0.061,0.253,0,0.115,0.462,114.099,4
spotify:track:4KELpaK3sQ5vEZX9nuK9lg,"Stupid Bitches","Stupid Bitches","Grace Ives",2026-02-20,211893,56,true,,2026-02-27T05:00:32Z,"","True Panther Records/Capitol Records",0.267,0.665,2,-5.425,1,0.0436,0.0295,0.00000278,0.465,0.5,100.014,4
